[2025-03-14T02:01:07.633Z] [INFO] Processed priority node: twitterv1
[2025-03-14T02:01:07.633Z] [INFO] Processed priority node: twitterv2
[2025-03-14T02:01:07.633Z] [INFO] Processed priority node: typeformtrigger
[2025-03-14T02:01:07.633Z] [INFO] Processed priority node: woocommerce
[2025-03-14T02:01:07.634Z] [INFO] Processed priority node: woocommercetrigger
[2025-03-14T02:01:07.634Z] [INFO] Processed priority node: wordpress
[2025-03-14T02:01:07.634Z] [INFO] Processed priority node: xero
[2025-03-14T02:01:07.634Z] [INFO] Processed priority node: zendesk
[2025-03-14T02:01:07.634Z] [INFO] Processed priority node: zendesktrigger
[2025-03-14T02:01:07.634Z] [INFO] Processed priority node: zoom
[2025-03-14T02:01:07.634Z] [INFO] Processed 151 nodes in total
[2025-03-14T02:01:07.635Z] [INFO] Successfully saved mappings to /Users/davidrivera/Downloads/n8n-make-converter/lib/node-mappings/nodes-mapping.json
[2025-03-14T02:01:07.635Z] [INFO] Generated 151 node mappings
[2025-03-14T02:01:07.636Z] [INFO] Extraction completed successfully
